# index   rtt_flux1   rtt_flux2
624 0.01832 0.05832
625 0.01832 0.05832
626 0.01832 0.01832
627 0.01832 0.05832
628 0.01832 0.01832
629 0.01832 0.05832
630 0.01832 0.01832
631 0.01832 0.01832
632 0.01832 0.05832
633 0.01832 0.01832
634 0.01832 0.01832
635 0.01832 0.05832
636 0.01832 0.01832
637 0.01832 0.01832
638 0.01832 0.05832
639 0.01832 0.01832
640 0.01832 0.01832
641 0.01832 0.05832
642 0.01832 0.01832
643 0.01832 0.01832
644 0.01832 0.01832
645 0.01832 0.01832
646 0.01832 0.01832
647 0.01832 0.01832
648 0.01832 0.01832
649 0.01832 0.01832
650 0.01832 0.05832
651 0.01832 0.01832
652 0.01832 0.01832
653 0.01832 0.05832
654 0.01832 0.01832
655 0.01832 0.01832
656 0.01832 0.05832
657 0.01832 0.01832
658 0.01832 0.01832
659 0.01832 0.05832
660 0.01832 0.01832
661 0.01832 0.01832
662 0.01832 0.05832
663 0.01832 0.01832
664 0.01832 0.01832
665 0.01832 0.05832
666 0.01832 0.01832
667 0.01832 0.01832
668 0.01832 0.05832
669 0.01832 0.01832
670 0.01832 0.01832
671 0.01832 0.05832
672 0.01832 0.01832
673 0.01832 0.01832
674 0.01832 0.05832
675 0.01832 0.01832
676 0.01832 0.05832
677 0.01832 0.01832
678 0.01832 0.05832
679 0.01832 0.01832
680 0.01832 0.05832
681 0.01832 0.01832
682 0.01832 0.05832
683 0.01832 0.01832
684 0.01832 0.01832
685 0.01832 0.05832
686 0.01832 0.01832
687 0.01832 0.01832
688 0.01832 0.05832
689 0.01832 0.01832
690 0.01832 0.01832
691 0.01832 0.05832
692 0.01832 0.01832
693 0.01832 0.01832
694 0.01832 0.05832
695 0.01832 0.01832
696 0.01832 0.01832
697 0.01832 0.05832
698 0.01832 0.01832
699 0.01832 0.01832
700 0.01832 0.01832
701 0.01832 0.01832
702 0.01832 0.01832
703 0.01832 0.01832
704 0.01832 0.05832
705 0.01832 0.01832
706 0.01832 0.01832
707 0.01832 0.05832
708 0.01832 0.01832
709 0.01832 0.01832
710 0.01832 0.05832
711 0.01832 0.01832
712 0.01832 0.01832
713 0.01832 0.05832
714 0.01832 0.01832
715 0.01832 0.01832
716 0.01832 0.05832
717 0.01832 0.01832
718 0.01832 0.01832
719 0.01832 0.05832
720 0.01832 0.01832
721 0.01832 0.01832
722 0.01832 0.05832
723 0.01832 0.01832
724 0.01832 0.01832
725 0.01832 0.05832
726 0.01832 0.01832
727 0.01832 0.01832
728 0.01832 0.05832
729 0.01832 0.01832
730 0.01832 0.01832
731 0.01832 0.05832
732 0.01832 0.01832
733 0.01832 0.05832
734 0.01832 0.01832
735 0.01832 0.01832
736 0.01832 0.05832
737 0.01832 0.01832
738 0.01832 0.05832
739 0.01832 0.01832
740 0.01832 0.01832
741 0.01832 0.05832
742 0.01832 0.01832
743 0.01832 0.01832
744 0.01832 0.05832
745 0.01832 0.01832
746 0.01832 0.01832
747 0.01832 0.05832
748 0.01832 0.01832
749 0.01832 0.01832
750 0.01832 0.05832
751 0.01832 0.01832
752 0.01832 0.01832
753 0.01832 0.05832
754 0.01832 0.01832
755 0.01832 0.01832
756 0.01832 0.05832
757 0.01832 0.01832
758 0.01832 0.01832
759 0.01832 0.01832
760 0.01832 0.01832
761 0.01832 0.05832
762 0.01832 0.01832
763 0.01832 0.01832
764 0.01832 0.05832
765 0.01832 0.01832
766 0.01832 0.01832
767 0.01832 0.05832
768 0.01832 0.01832
769 0.01832 0.01832
770 0.01832 0.05832
771 0.01832 0.01832
772 0.01832 0.01832
773 0.01832 0.05832
774 0.01832 0.01832
775 0.01832 0.01832
776 0.01832 0.05832
777 0.01832 0.01832
778 0.01832 0.01832
779 0.01832 0.05832
780 0.01832 0.01832
781 0.01832 0.01832
782 0.01832 0.05832
783 0.01832 0.01832
784 0.01832 0.01832
785 0.01832 0.05832
786 0.01832 0.01832
787 0.01832 0.01832
788 0.01832 0.05832
789 0.01832 0.01832
790 0.01832 0.01832
791 0.01832 0.05832
792 0.01832 0.01832
793 0.01832 0.01832
794 0.01832 0.05832
795 0.01832 0.01832
796 0.01832 0.01832
797 0.01832 0.05832
798 0.01832 0.01832
799 0.01832 0.01832
800 0.01832 0.05832
801 0.01832 0.01832
802 0.01832 0.01832
803 0.01832 0.05832
804 0.01832 0.01832
805 0.01832 0.01832
806 0.01832 0.05832
807 0.01832 0.01832
808 0.01832 0.01832
809 0.01832 0.05832
810 0.01832 0.01832
811 0.01832 0.01832
812 0.01832 0.05832
813 0.01832 0.01832
814 0.01832 0.01832
815 0.01832 0.05832
816 0.01832 0.01832
817 0.01832 0.01832
818 0.01832 0.05832
819 0.01832 0.01832
820 0.01832 0.01832
821 0.01832 0.05832
822 0.01832 0.01832
823 0.01832 0.01832
824 0.01832 0.05832
825 0.01832 0.01832
826 0.01832 0.01832
827 0.01832 0.05832
828 0.01832 0.01832
829 0.01832 0.01832
830 0.01832 0.05832
831 0.01832 0.01832
832 0.01832 0.01832
833 0.01832 0.05832
834 0.01832 0.01832
835 0.01832 0.01832
836 0.01832 0.05832
837 0.01832 0.01832
838 0.01832 0.01832
839 0.01832 0.05832
840 0.01832 0.01832
841 0.01832 0.01832
842 0.01832 0.05832
843 0.01832 0.01832
844 0.01832 0.01832
845 0.01832 0.05832
846 0.01832 0.01832
847 0.01832 0.01832
848 0.01832 0.05832
849 0.01832 0.01832
850 0.01832 0.01832
851 0.01832 0.05832
852 0.01832 0.01832
853 0.01832 0.01832
854 0.01832 0.05832
855 0.01832 0.01832
856 0.01832 0.01832
857 0.01832 0.05832
858 0.01832 0.01832
859 0.01832 0.01832
860 0.01832 0.05832
861 0.01832 0.01832
862 0.01832 0.01832
863 0.01832 0.05832
864 0.01832 0.01832
865 0.01832 0.01832
866 0.01832 0.05832
867 0.01832 0.01832
868 0.01832 0.01832
869 0.01832 0.05832
870 0.01832 0.01832
871 0.01832 0.01832
872 0.01832 0.05832
873 0.01832 0.01832
874 0.01832 0.01832
875 0.01832 0.05832
876 0.01832 0.01832
877 0.01832 0.01832
878 0.01832 0.05832
879 0.01832 0.01832
880 0.01832 0.01832
881 0.01832 0.05832
882 0.01832 0.01832
883 0.01832 0.01832
884 0.01832 0.05832
885 0.01832 0.01832
886 0.01832 0.01832
887 0.01832 0.05832
888 0.01832 0.01832
889 0.01832 0.01832
890 0.01832 0.05832
891 0.01832 0.01832
892 0.01832 0.01832
893 0.01832 0.05832
894 0.01832 0.01832
895 0.01832 0.01832
896 0.01832 0.05832
897 0.01832 0.01832
898 0.01832 0.01832
899 0.01832 0.05832
900 0.01832 0.01832
901 0.01832 0.01832
902 0.01832 0.05832
903 0.01832 0.01832
904 0.01832 0.01832
905 0.01832 0.05832
906 0.01832 0.01832
907 0.01832 0.01832
908 0.01832 0.05832
909 0.01832 0.01832
910 0.01832 0.01832
911 0.01832 0.05832
912 0.01832 0.01832
913 0.01832 0.01832
914 0.01832 0.05832
915 0.01832 0.01832
916 0.01832 0.01832
917 0.01832 0.05832
918 0.01832 0.01832
919 0.01832 0.01832
920 0.01832 0.05832
921 0.01832 0.01832
922 0.01832 0.01832
923 0.01832 0.05832
924 0.01832 0.01832
925 0.01832 0.01832
926 0.01832 0.05832
927 0.01832 0.01832
928 0.01832 0.01832
929 0.01832 0.05832
930 0.01832 0.01832
931 0.01832 0.01832
932 0.01832 0.05832
933 0.01832 0.01832
